seed,condition,seq_length,noise_rate,seq_id,queried_key,target_value,predicted_value,correct,distractor_leakage_events,mutex_violation_ticks,mean_firing_density
184326,active_associative,64,0.00,45,9,0,0,1,0,0,0.036676
188422,active_associative,64,0.00,46,13,0,0,1,0,0,0.031020
192518,active_associative,64,0.00,47,10,1,1,1,0,0,0.029323
196614,active_associative,64,0.00,48,13,0,0,1,0,0,0.040240
200710,active_associative,64,0.00,49,0,0,0,1,0,0,0.029663
204806,active_associative,64,0.00,50,10,1,1,1,0,0,0.034584
4103,active_associative,64,0.00,1,13,0,0,1,0,0,0.030398
8199,active_associative,64,0.00,2,13,0,0,1,0,0,0.027513
12295,active_associative,64,0.00,3,0,1,1,1,0,0,0.028701
16391,active_associative,64,0.00,4,15,1,1,1,0,0,0.031812
20487,active_associative,64,0.00,5,3,1,1,1,0,0,0.029493
24583,active_associative,64,0.00,6,4,1,1,1,0,0,0.032604
28679,active_associative,64,0.00,7,6,0,0,1,0,0,0.033170
32775,active_associative,64,0.00,8,15,1,1,1,0,0,0.030002
36871,active_associative,64,0.00,9,5,0,0,1,0,0,0.031246
40967,active_associative,64,0.00,10,15,1,1,1,0,0,0.028192
45063,active_associative,64,0.00,11,3,0,0,1,0,0,0.032774
49159,active_associative,64,0.00,12,12,0,0,1,0,0,0.029832
53255,active_associative,64,0.00,13,3,0,0,1,0,0,0.032434
57351,active_associative,64,0.00,14,8,1,1,1,0,0,0.030681
61447,active_associative,64,0.00,15,2,1,1,1,0,0,0.032321
65543,active_associative,64,0.00,16,15,0,0,1,0,0,0.029663
69639,active_associative,64,0.00,17,13,0,0,1,0,0,0.025477
73735,active_associative,64,0.00,18,15,1,1,1,0,0,0.032547
77831,active_associative,64,0.00,19,13,0,0,1,0,0,0.030851
81927,active_associative,64,0.00,20,2,1,1,1,0,0,0.037412
86023,active_associative,64,0.00,21,3,0,0,1,0,0,0.026326
90119,active_associative,64,0.00,22,12,1,1,1,0,0,0.032491
94215,active_associative,64,0.00,23,11,1,1,1,0,0,0.025421
98311,active_associative,64,0.00,24,12,0,0,1,0,0,0.030059
102407,active_associative,64,0.00,25,1,0,0,1,0,0,0.031360
106503,active_associative,64,0.00,26,1,0,0,1,0,0,0.034018
110599,active_associative,64,0.00,27,1,1,1,1,0,0,0.035319
114695,active_associative,64,0.00,28,11,1,1,1,0,0,0.031360
118791,active_associative,64,0.00,29,5,0,0,1,0,0,0.037016
122887,active_associative,64,0.00,30,6,1,1,1,0,0,0.025477
126983,active_associative,64,0.00,31,6,0,0,1,0,0,0.026835
131079,active_associative,64,0.00,32,10,1,1,1,0,0,0.035602
135175,active_associative,64,0.00,33,0,0,0,1,0,0,0.030851
139271,active_associative,64,0.00,34,6,1,1,1,0,0,0.032321
143367,active_associative,64,0.00,35,4,1,1,1,0,0,0.027683
147463,active_associative,64,0.00,36,3,0,0,1,0,0,0.032208
151559,active_associative,64,0.00,37,12,1,1,1,0,0,0.031190
155655,active_associative,64,0.00,38,3,1,1,1,0,0,0.031756
159751,active_associative,64,0.00,39,3,1,1,1,0,0,0.028192
163847,active_associative,64,0.00,40,12,0,0,1,0,0,0.023158
167943,active_associative,64,0.00,41,3,1,1,1,0,0,0.026665
172039,active_associative,64,0.00,42,4,1,1,1,0,0,0.029323
176135,active_associative,64,0.00,43,4,0,0,1,0,0,0.032378
180231,active_associative,64,0.00,44,14,0,0,1,0,0,0.028701
184327,active_associative,64,0.00,45,14,0,0,1,0,0,0.030002
188423,active_associative,64,0.00,46,2,1,1,1,0,0,0.028136
192519,active_associative,64,0.00,47,3,1,1,1,0,0,0.031812
196615,active_associative,64,0.00,48,8,1,1,1,0,0,0.033226
200711,active_associative,64,0.00,49,10,0,0,1,0,0,0.028758
204807,active_associative,64,0.00,50,14,0,0,1,0,0,0.030624
4104,active_associative,64,0.00,1,1,0,0,1,0,0,0.027118
8200,active_associative,64,0.00,2,12,1,1,1,0,0,0.037242
12296,active_associative,64,0.00,3,6,0,0,1,0,0,0.033679
16392,active_associative,64,0.00,4,5,1,1,1,0,0,0.031190
20488,active_associative,64,0.00,5,7,1,1,1,0,0,0.030455
24584,active_associative,64,0.00,6,4,1,1,1,0,0,0.037185
28680,active_associative,64,0.00,7,7,0,0,1,0,0,0.034075
32776,active_associative,64,0.00,8,1,0,0,1,0,0,0.029550
36872,active_associative,64,0.00,9,9,0,0,1,0,0,0.027004
40968,active_associative,64,0.00,10,2,0,0,1,0,0,0.027287
45064,active_associative,64,0.00,11,0,1,1,1,0,0,0.035206
49160,active_associative,64,0.00,12,3,1,1,1,0,0,0.030455
53256,active_associative,64,0.00,13,5,1,1,1,0,0,0.025873
57352,active_associative,64,0.00,14,7,1,1,1,0,0,0.028814
61448,active_associative,64,0.00,15,6,0,0,1,0,0,0.032887
65544,active_associative,64,0.00,16,8,0,0,1,0,0,0.034866
69640,active_associative,64,0.00,17,9,1,1,1,0,0,0.029437
73736,active_associative,64,0.00,18,6,0,0,1,0,0,0.037525
77832,active_associative,64,0.00,19,3,1,1,1,0,0,0.034979
81928,active_associative,64,0.00,20,5,1,1,1,0,0,0.025986
86024,active_associative,64,0.00,21,5,0,0,1,0,0,0.025534
90120,active_associative,64,0.00,22,14,0,0,1,0,0,0.030285
94216,active_associative,64,0.00,23,8,0,0,1,0,0,0.028814
98312,active_associative,64,0.00,24,14,0,0,1,0,0,0.026778
102408,active_associative,64,0.00,25,10,1,1,1,0,0,0.029097
106504,active_associative,64,0.00,26,10,1,1,1,0,0,0.029210
110600,active_associative,64,0.00,27,1,0,0,1,0,0,0.025194
114696,active_associative,64,0.00,28,10,1,1,1,0,0,0.030681
118792,active_associative,64,0.00,29,6,1,1,1,0,0,0.032604
122888,active_associative,64,0.00,30,10,1,1,1,0,0,0.019369
126984,active_associative,64,0.00,31,14,0,0,1,0,0,0.024912
131080,active_associative,64,0.00,32,9,1,1,1,0,0,0.023554
135176,active_associative,64,0.00,33,15,1,1,1,0,0,0.031246
139272,active_associative,64,0.00,34,1,0,0,1,0,0,0.030455
143368,active_associative,64,0.00,35,4,1,1,1,0,0,0.023271
147464,active_associative,64,0.00,36,3,1,1,1,0,0,0.032095
151560,active_associative,64,0.00,37,0,1,1,1,0,0,0.038373
155656,active_associative,64,0.00,38,12,1,1,1,0,0,0.027457
159752,active_associative,64,0.00,39,9,0,0,1,0,0,0.031190
163848,active_associative,64,0.00,40,6,1,1,1,0,0,0.026891
167944,active_associative,64,0.00,41,9,0,0,1,0,0,0.028871
172040,active_associative,64,0.00,42,15,1,1,1,0,0,0.028136
176136,active_associative,64,0.00,43,0,1,1,1,0,0,0.027909
180232,active_associative,64,0.00,44,2,0,0,1,0,0,0.031925
184328,active_associative,64,0.00,45,8,1,1,1,0,0,0.035149
188424,active_associative,64,0.00,46,15,0,0,1,0,0,0.030794
192520,active_associative,64,0.00,47,13,0,0,1,0,0,0.034357
196616,active_associative,64,0.00,48,2,1,1,1,0,0,0.032151
200712,active_associative,64,0.00,49,9,0,0,1,0,0,0.031812
204808,active_associative,64,0.00,50,6,0,0,1,0,0,0.036337
4105,active_associative,64,0.00,1,10,0,0,1,0,0,0.034414
8201,active_associative,64,0.00,2,8,1,1,1,0,0,0.034866
